"HolderAddress","Balance","PendingBalanceUpdate"
"0x01619c7c897c74ae7eb8c11a574f2c7125b0023e","175.564481198577","No"
"0x0365ab92eb0a345b9faa8d3ac8dbee5e045329b6","4.165430096E-09","No"
"0x03bee4ffe4c04dea00b8c498e390436220104b20","4.9E-17","No"
"0x045a0f3d255b01d5bd6d268a59f8e941c87fa54b","0.000117573669238307","No"
"0x048e12f5e992485a83899b4758730ba0a814bd67","0.0721895066612344","No"
"0x093f138b0fa9fac7bf722f150806d854400fd81c","1569.69965735436","No"
"0x09a7a1a9bdfe6beeea5880a0577f059967eed376","0.156512353925451","No"
"0x0d7156310e772352dc18edeaa173c34be23bf2d0","101.563490531244","No"
"0x0e26d3b3d2ce819568425240e954b9d7e857f3a4","30.0782540153404","No"
"0x0ec0a450f4334dbc879e1bc015c6efca35831d49","1.01","No"
"0x109428f056519946075ba96a8367762f6e082dcb","5","No"
"0x11fe0d71a5efba98c5bd3e7c798e2e66f6a4b8f5","2.22743591016798","No"
"0x127c5a508b24eb7c198a4e89cf27ca2cf0315811","9.13519477E-10","No"
"0x16fb9e83a58474e04af009d57eb26895430e5d6d","0.00443447159333451","No"
"0x188071afece828c3dbd46673bda8fce11ce2c939","5","No"
"0x19a46c6913f1431efdc2164587aa6c3af01045f6","1","No"
"0x1c46dab080c1246727bb511d755f379c3f18fdce","2.25729827041917","No"
"0x1d141dc2dfd89bfe861a69f690c723f66379296d","3.01810361347639","No"
"0x20ac2c094c6f923c6e7b5f7f96e386e5b3206262","7.852781759244E-06","No"
"0x211cb9b850c271575579d998f6b013170c282201","0.000281476334586868","No"
"0x23306837b4e65fd4ae1f3b5376de0b078d89a89a","10.4872249960201","No"
"0x233b3cb09b531843e86c95082904aedf4b14208d","5.194866666E-09","No"
"0x23708084426283e5c0b020226ab155296ba7d218","6.90490999602395","No"
"0x238967bc91d0ffa8ff951eb4662b72d541c2e529","1.28968524459653","No"
"0x26b350f462ae30ec1c48c36ba944ab66f06dafee","0.0385822247912325","No"
"0x27608f889b745fed066a0196ae22e8fe3cf65ed0","0.634587064392502","No"
"0x294803520a1e7b671c105c8a3d94836f40b2b557","15.211071870748","No"
"0x2951b1f7058bd2c05f01954002c450bac0873847","0.0785972704539143","No"
"0x2974fc1f54864f06d70ab833a478fde6b0806ce5","1.73124216907767","No"
"0x2a7a015d59a1b7ade8c8865bad5aef4e29b6c30a","5E-18","No"
"0x2b799a7f12970dc568591c0a7e7beba0ca5f6f70","8.035103961E-09","No"
"0x2ba8a10f174be05cc19f463a778000ad2dc4a6d7","1","No"
"0x2c5d3445bf5a64521db550b061a733f30923f897","0.00544525360297504","No"
"0x2cd3bcd2c6915f3bdd6296af24802bcc2d8839b8","85.1683846682383","No"
