"HolderAddress","Balance","PendingBalanceUpdate"
"0x7adc96a01d501f979927018c60082fb02e7da623","42229.1666666667","No"
"0x1b98c3f29152f51de4b9191c46abcdc6964db663","867.535333333333","No"
"0x7264113fff9d2d5ef48bebfdcab30a1204d6135b","1257.02","No"
"0x80b48573f15b64122b18422dac5e1f5d0e941709","399.310010916879","No"
"0xa0ae1246a826d554c63a4b62f3f10e5fa21bc03f","43.99956","No"
"0xf3a62ffacab9b90f176d308faa97ce1b2724f44a","173","No"
"0x4e37dcad9e6e1465f33387587cef22616aac2541","6063.65042277315","No"
"0x075e49e4ef6dca289583664f570945a480e29ab4","32.5745284731852","No"
"0x0000e9ef000000a15f1f02c1008d21eb66001534","1E-18","No"
"0xe39d63ce93f8e9fa7ed0e65ad55360227a5e68df","4.38934932714E-07","No"
"0x9b2404088a4f948860f0db9dd932ed04e44df453","2","No"
"0x3802273165845586ac47f1b95f4538ac5ab5aa12","8.71515973085E-07","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x4c39ada0340c1eb3cee343f44819323dd29081a9","9.026327980801E-06","No"
"0x0e79bf8a617e529c37ca0029ff003afb5c36a31e","6.0545163595168E-05","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x1d73faceaed00489b29ef1f5abb123769bfc1121","0.303934633276125","No"
"0xde0727df0fca11bd4c6551ba28d14770afefdc88","1.86532136006758","No"
"0xaa6bc1f421c362b55d79c4631875229c5d918131","3.05812062650913","No"
"0x2ac9b81786b7a39bb464f03dbece66244e3ac510","0.152637364230961","No"
"0xe4262298a99241806b510349e4e03841c1a16552","0.001","No"
"0xa532b0bd8e23ca60ea85af24f34904e0feeb6584","0.060339722388879","No"
"0x93e0f1d9f5d7d593df26def23a6599e1d38f565d","0.89411529585915","No"
"0x8bb9dfe7b0a56c33ef3c7f0b207a98b772693c01","2.1413144924503E-05","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0xae279c949d13e660fdb2eb1270989beb87c24568","1.07099096100864","No"
"0x184c651478aff7daef6493525ec38973e32de4c3","1.51267180562933","No"
"0xce129202d7f6cf8b8cf843d1a4c68fae3f9f5413","6.39866331431644","No"
"0x912fa56659a7ba7bf53d6765e76c4f0d54585bbf","0.0551227590672328","No"
"0x762a62a9b2cfdc749616459f784606000c26bfee","0.293056019098795","No"
"0x9ad2fdc0c515c2fe5358acd8b641f799e64e0c5c","1","No"
"0xb40696ef5545bdceb4174ee76ba24c339d56db3f","8.167616513E-09","No"
"0xe40e61693ed503fee495aa2354b044d6788142e3","6.352239472E-09","No"
"0xa6ef973614870a0a38ff5ee8595a1650e92cec04","0.5","No"
"0xfdae0e73be9d4bb5439ed1724af6435fe91c1c69","0.000255161942995803","No"
"0xd685f9a87f5cbd534824bf1dea581a8de083f2da","5.56990247400012","No"
"0xe51d8147e711a246eb77e105d48e50967d06389e","6.74562634E-10","No"
"0xc09f5a129c7715bc638956f3fd8eb7013040c1fa","5","No"
"0xafd4d1d472b51fd35188b8a6246ef321d81720f1","0.53464978485665","No"
"0xeb9b8696d656a82feda75182e670b0ad21b4c3b8","5.724943781E-09","No"
"0x4109bab36a86b64e9ee5d126ef3545a2c68af684","6.3359321284348E-05","No"
"0xe17f1b605687dfb0465ed7d615fed1b03eda7322","0.000619491820540351","No"
"0xd1ba709e2a437aa2b8cf719cfb8e2a812536c735","6.37E-15","No"
"0x4d655582e9bd9c760588e27d0fca7a799935c494","0.000132826907116151","No"
"0x9bcd10641169194a81a41328f5049a5abe97e951","8E-06","No"
"0x75fd6d74d5ed05dbe000ed781ca9e50607e180b1","1","No"
"0xd981388631e5e3e9c0aa6550d6ebe24569c8a3e5","24.0566789142198","No"
"0x4ac5a17b758c3a3c93214e770e35c4367ecff8b6","10.009808","No"
"0xb9ae5efea0d548e29a9afd8e32f31a440d9e8588","2.8206964990512E-05","No"
"0xed420f5f00186fa868aff815f9f5725be1cadc6d","7.0000000000328E-05","No"
"0x92ab6861227266cfa22ff50cc1f1df5cf45d394d","22","No"
"0xd739ec618244650af7efff8bd8d0edcb190175b5","0.1","No"
"0x078cfd085962f8db8b3ead10ce9009f366cf51d8","8E-05","No"
"0x41391ccd08b2d04cb3de32404e82a0ac25e3506f","2.9833129053373E-05","No"
"0xd9ab3eecb0c2859f540453c78b5ae96a64353df8","0.495037029258038","No"
"0x61f8bed08d0fc2ab1e4e628cda5b929e0761b582","4.730034430584E-06","No"
"0x392cb8d8280e1a61faa3c3fd608ac63eaf05ce9f","1.486331649969E-06","No"
"0x1b3006d57d5d9653a4ecaea6cfb0fd72a1537cc9","1E-18","No"
"0x473ec7f9709cb1d6cb49b9c479f76527b8f5282f","0.00713230083542405","No"
"0xc35d89020443e1da06b099ea2882539a080e6d56","0.076868","No"
"0xdddddd45683a6a6cd0fafba624b539c3b59175ce","6.73270601343E-07","No"
"0x104562bfddade5f08582ecf2a4cd61a3759696fa","0.000155474930769973","No"
"0xd631a7500c39368f021109f497c4ed85b8a256ea","6.5053338386352E-05","No"
"0x3ec21dc5edeb826eca083b72a419c3e81cd5a45c","0.0335984745464161","No"
"0xf1a2a4a998f54eb7af2679e2296f6a3f33bc4869","5","No"
"0x7e8f90e2c48898b1e0f3f3fc7b7a315500d64a2f","4.09791910307075","No"
"0x75d228291f2670546549563569d25ab1840fa897","0.009808","No"
"0x5f0c81c1734c13d2531537f8980abe7f84511161","8.586805197E-09","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","1E-18","No"
"0xf617d397d3120042609321fd0a071c84a38df95b","12.5397903847933","No"
"0x569ec5626f6f5c99594a9db2ceb4e87c52c8a613","1","No"
"0xc23f488f55b1743f091da9f9b3d58d1d2adfe8de","5.005053102324E-05","No"
"0x71ec5abfc49075e158b0f85575d400d0f5d7d3be","24","No"
"0xa4e3d1be71e1ff77ec9eecffa4254631c06b4fc4","5.76138161242E-05","No"
"0xfd2efec8be64be9bd4bad3e3dd3912406ca52ae6","3.3831524588662E-05","No"
"0xab3e5ad130a4e87f6cb5bb6a7d812d3d2909caa9","8E-05","No"
"0x2716e86223706d81b1bdd66b60575ca8147fb06f","2","No"
"0x8af00eef933589d2443e30f312d00620fef54b5d","5.64587468807425","No"
"0x9ed2c1ed0cd65045b3734a3e1f60f918cf32e296","2.9633076114836E-05","No"
"0x954c9812d1775f259c562daf038ff8eebaf4f89f","4.7927331219814E-05","No"
"0xec9e489936f60497898b40f3fe44bc22c56b62b9","113","No"
"0x4ee1c38fa0b9e8ecca8b37e62435b3194134f7fb","8.9805116195795E-05","No"
"0xc31b49aed855b2c48055d972b85e5484243f734e","0.02","No"
"0x93dd7b9dd9c74cf9e4337d8cad319c7d90b9ed12","6","No"
"0x95279bf8f2d76abae2d74c977f9ac63f3701eef9","9.062993851E-09","No"
"0x6390d181751c0d3c8e0eb4f2e111871ff1f8d0e9","11.9538605370029","No"
"0xbc63b4284329e8bc0217517da2f52e5a605d8b3f","0.000135836146078543","No"
"0x58a98b527a129a2717674e530242d70913b00e7c","4","No"
"0x656f4f7633618fea535c22affd151e9e27f3b42c","0.00657987978141186","No"
"0xba4cd1bdc5b09c42f577dc949b87e561eb19865e","6.190810672E-09","No"
"0x1021108f4bbbdbf9139813f9681e6b253583f090","3.3830619604126E-05","No"
"0x40ea5001129509c4cb3ac25c30e3d318bc7388fc","5.19788914170026","No"
"0x87359121086dd810c7fa266593d9ce9c153f5c35","0.312620579238358","No"
"0xd29ded303196c611f45369c04ea5e04a2f5094da","0.0905994319081297","No"
"0xe0c8677852ce94ceec624f86b661fac442760b0a","1","No"
"0x86a510c53f2f575f990fee88a795fbdcabc90fa7","1.11707035711877","No"
"0x7651fae235b073791fe828781b7da59fe3095d32","2.05","No"
"0x0953be3da8908f8c8afe053525ebb541f5953b82","3.37134775690814","No"
"0x5b5f4186d747e6d5ed70bb716942771038c59b0b","3.922256587523E-06","No"
"0xbd23fe46c19e6ce9849b85db0d513108959e8910","7.1125762896427E-05","No"
"0x2d69bab9738b05048be16de3e5e0a945b8eeef3a","0.00604453081551802","No"
"0x6534e5d2c59128254bd05923f87524d53f113e21","8E-06","No"
"0x206ab1c7ef20abdfa1d4b69baa2d9eb7bbef76b6","6.4775947071907E-05","No"
"0x08efc523cc7ed2e961435faa708892acd9dacad7","5.34965045085E-07","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","1E-18","No"
"0x12c5b5f296470e2e8fd24bbfb2163a251108ae43","18.3782866428174","No"
"0x81fd6437682dab49dee304af80820391e4034c40","6.096747756994E-06","No"
"0x08e18abc0a70bc99b7a3c3679a57afe36b4c4e32","0.00366144405741778","No"
"0xb1c682ca12300b0f214c13757e4e6501501ac962","7.0756287498883E-05","No"
"0xb6e2e75a55be92d2132c28f66f707c021543c41e","2.48193705171357","No"
"0x2d0f86bfa709babc26c4ed0034d8d1b963bea49f","7","No"
"0xb10a6500f4148e16e6bc05a5ea3089fd3d57f157","2.968075831E-09","No"
"0x33f170717b9f75e4ebfc7c3e52f97af4645ea731","4","No"
"0x8f08d9da636631398c66e3374c02aefe4ba8216f","2.7776364626182E-05","No"
"0x8330fa440b4a6fca05b28111ed93e7b0264f1ee0","9.6002128E-11","No"
"0xf43b399e433f11ca2121ed1c2b47f821c59c6d9a","0.972367272013042","No"
"0x0c709f763458972c74c85c9b496bde451229c7bc","0.000747173618777804","No"
"0x0a0c50de056dc3cb14c6e8b8e54a8d676891c7df","1.03756379940695","No"
"0xdf281cc1b3d564784b1e8dfacba11ab60ca47958","1","No"
"0x1d7b13d2c5c130e698dffaa11d76adabc787f269","0.367383112179945","No"
"0xe2c9887b129ac88a6bace23bdf6e686428c9e2ea","0.275985798936146","No"
"0x72cad03410d16be62535281a0ebcd9eac7d90959","2.8174285652201","No"
"0x0b1b87a7b1295eccd88dfb1e0acd2a17b644b92a","2.7845531E-11","No"
"0x0a65a774d7e8ea47d3838ed6e676dc05c2b25008","0.000116757033572018","No"
"0xd8d7e51caae47e7b23ca21bda30cf6f3e9e006f3","0.000740258990552546","No"
"0x8c6c7a2ddbe9236196b0302f99ed0a26f181eee7","9.175975711E-09","No"
"0xb247cbd8ed9c23d24c0ce0b4a4a448319bb68094","3.5420182027963E-05","No"
"0x1eadcfa2aca8b493fd94c19e367449f95bcdeede","0.687923595820493","No"
"0x9416fee527db7cb6fabeeeed4623ce372be13fd6","5.55956621864774","No"
"0xf5a28d905b6829fb17e6ab9e749698fb30130672","1.40884584617972","No"
"0x83d5bda20b45c73d57a04dc1705dec27991c64ba","4","No"
"0xa95aa9850b5d9f2cad89592be32ddc361365e99e","1.17905154133735","No"
"0x2a2671838545a74335aec6504352386d1e102903","1.396365558E-09","No"
"0x49216a6434b75051e9063e99bb486bc85b0b0605","0.853692599979836","No"
"0xcf143be12281f25a62942af563db3d80ea10aeae","4","No"
"0x794695d3b4451f7177040d6d0a3435404a41a921","20","No"
"0xfbf9f3838cde1e10feb5fc1c79f0de6920636895","0.0250133436522014","No"
"0x5c3d695fc6133463136477ce2cfdfb0bc0f72e59","3.01693477073742","No"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","163.001664284962","No"
"0x61c98f7110ddce29680cd7eb6e1cd77a81d7587a","3.691772293149E-06","No"
"0xd11e3e8815ab3bc592a032bd1b56b01a89d83a66","0.530964545328874","No"
"0xa65fa2440da3de457eb07f71d35e18ec9eafb7fb","0.000835","No"
"0x3ccff23f33d2488d77e569bfabf8fcf7434a8d16","1","No"
"0x039255900459494dfc2ca8710801e06c2c870097","0.000618274751341917","No"
"0x8adc75f410c8a5a91369228b48c76fd1488b4ef4","0.00750644477812794","No"
"0x28ef915977f186cc0167aade99a4a0576c26803c","6.1586649568836E-05","No"
"0xa5ab8ac63e28af799c9314be39d36ae6a2b1116a","2.974378994166E-06","No"
"0x19982c8487cd329feab7580cd46893db81190a4d","3.137486548505E-05","No"
"0x27388bdbc5132d8348981c7f68a86326e4330ad3","2","No"
"0xf5f120897189f65ec4ebdd1f6cc39e5e8fe49363","3.390859807E-09","No"
"0x92a7f0dfb36af2781f4c56ee7f7458794343cc8b","10.5572642312433","No"
"0x5d89478d473049d89620ed5b8891887268349572","2.86902479914278","No"
"0xd47ca5d318cdabd9aab97c1aabd99c422d6a5187","0.23","No"
"0xbf03411894fa7d51c4b598852343a64b65da8826","1.071745709E-09","No"
"0x1142db8de8b9a2ec88602020525cb00eeced9715","25","No"
"0x90ed08950007a5b39dc3bcacb7d02a295d8e2cf7","0.25","No"
"0x25725aa887dadb94080fb89efd88e36a984add30","0.301614072089808","No"
"0xc3cb5f13233c67adb46001e91a983dc8c41d14ad","0.592348780391294","No"
"0x5bf57f8a9e1fdb554d65331cac55b1c9b24bba11","2E-17","No"
"0x3426d55cad718fa88bb3abf3b9119aac918e145d","0.0027744659420397","No"
"0xf8dc713418332074365ffcb6480339e5cd58424b","6.62E-16","No"
"0x1a53a9e4c29fed9cfdb10a70b91b7ac34ded6956","1.01188689196753","No"
"0x099ddb48277dcb302ca68499982f06618df08216","4","No"
"0x5ccc2dad2faca68ceb3a3c2af0b839cb75e64e06","9.0792494013055E-05","No"
"0x936bea19f48df8f8d6b275d5246c7cd4b0258e24","3.33879764504E-07","No"
"0x5d3e18d69c7b3a1276562f75e3da3671472164d6","0.5","No"
"0x9cd0995b53a8f1863b6510b5f1aa09be6955b6b2","0.0017870671174784","No"
"0xa42d894c50a245da71b3f7a4e7b8f228ba1e2a85","1.58023828539632","No"
"0x87d095702f32b6e68675492e5dad7d02884ae673","3.6560599202033E-05","No"
"0xc2ab23af79473924a0f631d314731eaa558748ff","0.730434200714716","No"
"0xb1b1b9179174a36d62afc42720348b9cb091f96c","3.52585966E-09","No"
"0xd3e0de65cbe114c64fa8c611eec96575f8beae99","7.23068846E-09","No"
"0x8533213fbaa13480d38fe14efa9d9981bbe43398","0.00299744096122947","No"
"0xb32c24573ac715165109140fcdd6342113e4d10b","3.375702408E-09","No"
"0x804c3083d6565426a35482611a514948abfb00ac","3.9E-17","No"
"0x978fd468aeba46471d704ad4a8520386bc6707a7","0.000774957183955316","No"
"0xfa4189e5b99f34ee69c4dfd56ade47bc813dee96","7.7467987388894E-05","No"
"0x16857503dcfa74da125a1aa421ff9b266af281cc","0.8","No"
"0xb52c1fc731089aa81e9b63df97815fc59a430c06","8.60464772351433","No"
"0x90202fd34e9b7e629aae42094936119d88f9fd22","4.902839742E-09","No"
"0xb8b3c6df2c77804a9ddffd0191dd10e3d720d3b5","0.85481414631796","No"
"0x339b498119bb0ad5f604d793ebcda681e3a72454","0.0285523325615359","No"
"0x0efc037572d2152e18a81ea273daa35473291fe0","8.880722829E-09","No"
"0x59428629041385ae15e51ea6fd1bab66bd3ffbb2","2.1","No"
"0xc4d6f7edbe37be54c7a8c42be1970072bfdb3cc3","3.05558227654811","No"
